Age,Position,post_location,rel_status,photos,sig_other,fb_diary,work_pics,school_related,fb_signup,pust_wall,vacation,finance,online_meet,workplace,school_records,phone_num,humiliating,personality,personalize,anyone_see,write_comment,read_act,PIC,pd_planner,informed,transfer,person_accessed,storage,cybercrime,consent_required,research,sec_policy,measures,monitor,liable,moa,lose_license,delete,compliance,imprisonment,correction
40,Faculty,3,2,5,4,2,3,4,3,3,3,1,1,3,2,2,2,3,2,1,1,5,5,4,5,4,4,3,2,3,5,5,5,4,5,4,5,5,4,4,5
46,Unit/Subject Area Head,1,1,4,2,2,3,2,2,2,3,1,1,2,1,2,1,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,Faculty,3,1,5,3,3,2,3,3,3,4,1,1,3,2,1,1,3,3,2,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
23,Faculty,3,1,5,2,2,1,1,3,1,2,1,1,1,1,4,1,1,1,3,3,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
23,Faculty,3,1,4,2,2,3,2,1,2,1,1,1,1,1,1,2,2,2,3,1,5,5,4,5,5,5,5,2,4,5,5,5,4,4,5,2,4,4,5,5
26,Faculty,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
26,Faculty,1,1,3,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,3,5,5,3,4,5,5,5,5,5,5,5,5,3,5,4,2,2,3,5,5
27,Faculty,2,4,5,2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,5,5,4,5,4,5,4,5,4,5,5,5,4,4,5,4,4,4,4,4
46,Non-teaching Staff,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5
45,Non-teaching Staff,3,3,5,3,2,2,4,5,3,1,1,2,3,3,3,1,2,4,3,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
34,Non-teaching Staff,2,1,3,3,2,2,1,2,1,1,1,1,1,1,2,1,2,1,4,3,3,4,3,3,4,4,4,4,3,4,4,3,3,3,4,4,3,3,3,3
33,Non-teaching Staff,1,5,3,3,2,2,5,3,1,3,1,1,4,3,3,1,1,2,3,1,5,5,4,5,5,1,5,5,5,5,5,4,4,5,5,5,4,5,5,5
30,Faculty,2,1,3,2,2,2,4,2,3,1,1,1,1,2,1,1,2,2,1,2,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,4,2,4,3,5
40,Non-teaching Staff,3,1,3,1,2,3,3,2,4,2,1,1,2,1,1,2,1,2,2,2,5,5,4,5,5,4,5,4,4,4,5,5,4,5,5,5,4,5,5,5
27,Non-teaching Staff,2,5,3,3,1,1,2,1,2,1,1,1,1,1,1,1,2,1,5,3,5,5,3,5,5,5,5,5,5,5,5,4,4,3,3,3,4,5,3,5
25,Non-teaching Staff,3,3,4,3,2,3,3,1,2,3,1,1,2,2,2,1,2,1,2,2,5,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5
26,Faculty,3,5,5,4,4,4,5,3,3,2,1,1,4,1,3,1,3,3,1,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5
42,Unit/Subject Area Head,1,2,4,3,2,2,4,4,2,1,1,1,1,2,1,1,2,2,4,2,5,4,4,4,5,5,4,3,4,4,5,5,4,4,4,4,4,5,3,5
31,Faculty,3,1,4,1,4,3,3,2,2,3,1,1,3,2,1,1,2,1,2,4,5,5,5,5,5,5,5,4,5,4,5,5,4,4,4,5,4,4,4,5
47,Non-teaching Staff,2,1,2,1,2,3,2,1,1,2,1,1,1,1,2,1,1,2,2,1,5,5,5,5,5,3,4,4,4,4,5,5,5,5,5,5,5,5,4,5
